index,comic_book_store_name,address,city,state,latitude,longitude
142,Comic Madness,12345 Mountain Ave. #J,Chino,CA,34.0288231,-117.6667152
143,Comic Odeyssey,3400 E. 8th St. #106,National City,CA,32.68550192,-117.0721278
144,Comic Outpost,2381 Ocean Ave.,San Francisco,CA,37.7297961,-122.4694775
145,Comic Quest,5 E. Citrus Ave. #101,Redlands,CA,34.0558086,-117.1822727
146,Comic Quest,23811 Bridger Rd. #100,Lake Forest,CA,33.6164524,-117.7086866
147,Comic Universe,18902 Brookhurst St.,Fountain Valley,CA,33.68830578,-117.9539069
148,Comickaze Comics Books and more,5517 A/B Clairemont Mesa Blvd.,San Diego,CA,32.81689046,-117.1333353
149,Comicopolis,829 Front St.,Santa Cruz,CA,36.9756787,-122.0262979
150,Comics & Collectibles,1904 Fruitridge Rd.,Sacramento,CA,38.52463467,-121.4971532
151,Comics & Stuff,2435 E. Plaza Blvd.,National City,CA,32.67938774,-117.0810128
152,Comics & Stuff,200 E. Via Rancho Pkwy.,Escondido,CA,33.06925038,-117.0691262
153,Comics & Stuff,567 Parkway Plaza,El Cajon,CA,32.80165819,-116.9604836
154,Comics & Stuff,325 3rd Ave.,Chula Vista,CA,32.640559,-117.0795635
155,Comics Conspiracy,115-A E. Fremont Ave.,Sunnyvale,CA,37.35213493,-122.0322762
156,Comics Factory,1298 E. Colorado Blvd.,Pasadena,CA,34.1454481,-118.1235665
157,Comics Plus,1315 Center Ave.,Los Banos,CA,37.05608047,-120.8542205
158,Comics Plus,1024 N. H St.,Lompoc,CA,34.65383429,-120.4575715
159,Comics Toons and Toys,13542 Newport Ave.,Tustin,CA,33.74290563,-117.8171363
160,Comics Unlimited,16344 Beach Blvd.,Westminster,CA,33.75180868,-117.993251
161,Comics+,12353 Mariposa Rd.,Victorville,CA,34.4752596,-117.3404308
162,Comics+,955 S. E St. #B,San Bernardino,CA,34.0842665,-117.2929765
163,ComicSmash!,11824 Ventura Blvd.,Los Angeles (Studio City),CA,37.15999125,-121.9229363
164,Comix Experience,305 Divisadero St.,San Francisco,CA,37.772415,-122.4376077
165,Continental Comics,17032 Devonshire Ave.,Los Angeles (Northridge),CA,37.15999125,-121.9229363
166,Cop-A-Comic,613 W. Main St.,Merced,CA,37.3023888,-120.4850252
167,Corner Store Comics,980 E. Orangethorpe Ave. #A,Anaheim,CA,33.8590863,-117.9085702
168,Cosmic Slop Comics/Video,5 E. 16th St.,Antioch,CA,38.00646709,-121.8058732
169,Crush Comics,2869 Castro Valley Blvd.,Castro Valley,CA,37.6950439,-122.083012
170,Current Comics,1287 North Main Street #AA,Salinas,CA,36.7010248,-121.6531367
171,Cyberzone Toys & Sports Collectibles,23887 Sunnymead Blvd. #B,Moreno Valley,CA,33.93895025,-117.2459675
172,Darkstar Records & Books,3000 Mall View Road (East Hills Mall),Bakersfield,CA,35.35014666,-119.0312755
173,Dizko Entertainment,5527 Cahuenga Blvd.,Los Angeles (North Hollywood),CA,37.15999125,-121.9229363
174,DJ's Universal Comics,11038 Ventura Blvd.,Los Angeles (Studio City),CA,37.15999125,-121.9229363
175,Dr. Comics and Mr. Games,4014 Piedmont Ave.,Oakland,CA,37.8254405,-122.2532681
176,Dream World Comics,12400 W. Washington Blvd.,Los Angeles (Mar Vista),CA,37.15999125,-121.9229363
177,Earth-2 Comics,15017 Ventura Blvd.,Los Angeles (Sherman Oaks),CA,37.15999125,-121.9229363
178,Earth-2 Comics,8967 Reseda Blvd.,Los Angeles (Northridge),CA,37.15999125,-121.9229363
179,Empire's Comics Vault,2357 Arden Way,Sacramento,CA,38.59616261,-121.4078588
180,EndGame,921 Washington St.,Oakland,CA,37.80199,-122.2744738
181,Endless World Cards,515 Balboa St.,San Francisco,CA,37.77713768,-122.4641616
182,Falcon Comics & Collectibles,10176 Mason,Los Angeles (Chatsworth),CA,37.15999125,-121.9229363
183,Fantasy Books & Games,2247 1st St.,Livermore,CA,37.6816183,-121.7681499
184,Flipside,19950 Ventura Blvd.,Los Angeles (Woodland Hills),CA,37.15999125,-121.9229363
185,Flying Colors Comics & Other Cool Stuff,2980 Treat Blvd. (at Oak Grove Rd),Concord,CA,37.97214152,-122.001235
186,Friend's Junction,1974 East Main St.,Los Angeles (Ventura),CA,37.15999125,-121.9229363
187,Fun Stuff Cards Comic & Collectibles,422 W. Capitol Expressway,San Jose,CA,37.27454558,-121.847221
188,Funny Business,896 N. Garey Ave.,Pomona,CA,34.06665551,-117.7513865
189,Galaxy of Comics,17306 Sayicoy St.,Los Angeles (Van Nuys),CA,37.15999125,-121.9229363
190,Games and Cards,1716 Colorado Blvd.,Los Angeles (Eagle Rock),CA,37.15999125,-121.9229363
191,Games People Play,1119 Chorro St.,San Luis Obispo,CA,35.2793885,-120.6627548
192,Gaming Collection & Toys,1061 Lafayette St.,Santa Clara,CA,37.3508694,-121.9434445
193,Gateway City Comics,295 N. State St.,Ukiah,CA,39.15124112,-123.2078
194,Geeks,6747 Greenleaf Ave. #A,Whittier,CA,33.9806086,-118.0374162
195,Geoffrey's Comics,15900 Crenshaw Blvd. #B,Gardena,CA,33.88645925,-118.3264119
196,Glenn's Coins,9102 Firestone Blvd.,Downey,CA,33.93449424,-118.1218412
197,Golden Apple Comics,7018 Melrose Ave.,Los Angeles (Hollywood),CA,37.15999125,-121.9229363
198,Grapevine Comics and Cards,9299 Thornton Rd. #4,Stockton,CA,38.03468942,-121.3384217
199,Great Sports Pictures & Cards,1376 Broadway,Placerville,CA,38.73199739,-120.7806509
200,Green Apple Books & Music,506 Clement St.,San Francisco,CA,37.78302678,-122.4644992
201,Heroes,24 E. Campbell Ave.,Campbell,CA,37.2867518,-121.9491544
202,Heroes Comics,110 E.Shaw,Fresno,CA,36.809682,-119.787968
203,Heroes on Paper Comics and Games,3410 W. Hammer Lane #D,Stockton,CA,38.02047855,-121.360455
204,Hi De Ho Comics & Books with Pictures,525 Santa Monica Blvd.,Santa Monica,CA,34.0173436,-118.4941294
205,Hijinx Comics,2050 Lincoln Ave.,San Jose,CA,37.29351195,-121.8900674
206,Hobby Connection,6723 Greenleaf Ave.,Whittier,CA,33.98075196,-118.0374157
207,House of Armand,406 Mission Ave.,Oceanside,CA,33.1955207,-117.3803469
208,House of Secrets,1918 W. Olive Ave.,Burbank,CA,34.16559728,-118.3247073
209,Illusive Comics & Games,2725 El Camino Real #105,Santa Clara,CA,37.3528984,-121.9757242
210,Invincible Ink,630 Nordahl Rd. #K,San Marcos,CA,33.1328435,-117.1208645
211,Isotope: The Comic Book Lounge,326 Fell St.,San Francisco,CA,37.77614848,-122.4232889
212,J&R Sportscards,1465 Mangrove Ave.,Chico,CA,39.745038,-121.8407737
213,Japantown Collectables,6828 Fulton St.,San Francisco,CA,37.77184874,-122.5050696
214,Jeffrey's Toys,685 Market St.,San Francisco,CA,37.78764604,-122.4027588
215,Jimmy's USA All Collectible Show,12327 Whittier Blvd.,Whittier,CA,33.97518997,-118.0465333
216,JNJ Comic Books,117654 Edinger Ave.,Fountain Valley,CA,33.71044959,-117.9514087
217,Just Imagine,827 N. China Lake Blvd.,Ridgecrest,CA,35.63652748,-117.6699587
218,KC Kings,3875 Telegraph Rd. #L,Los Angeles (Ventura),CA,37.15999125,-121.9229363
219,Kings Comics & Cards,420 N. Glenoaks Blvd.,Burbank,CA,34.18552716,-118.3092854
220,Knightly Games,1560 Ocotillo Dr. #C,El Centro,CA,32.77668879,-115.5679761
221,Knockout Collectibles,5925 Entrada Ave.,Atascadero,CA,35.4898107,-120.6687063
222,Krier's Cards & Comics,3900 Pelandale Ave. #305,Modesto,CA,37.6994046,-121.0662605
223,"Lee's Comics, Inc.",2222 S. El Camino Real,San Mateo,CA,37.54611172,-122.3075942
224,"Lee's Comics, Inc.",1020 N. Rengstorff Ave. #F,Mountain View,CA,37.4199443,-122.0960776
225,Legends of the Game,233C W. Main Ave.,Morgan Hill,CA,37.12799038,-121.6589116
226,Mega Comics,2955 Cochran St.,Simi Valley,CA,34.2816111,-118.7391389
227,Melrose Music & Comics,7301 Melrose Ave.,Los Angeles (Fairfax District),CA,37.15999125,-121.9229363
228,Meltdown Comics & Collectables,7522 Sunset Blvd.,Los Angeles (Hollywood),CA,37.15999125,-121.9229363
229,Meltdown Comics & Collectables,1613 Colorado Blvd.,Los Angeles (Eagle Rock),CA,37.15999125,-121.9229363
230,Meltdown Comics & Collectables,3151 Los Feliz Blvd.,Los_Angeles (Atwater Village),CA,37.15999125,-121.9229363
231,Metro Entertainment,6 W. Anapamu St.,Santa Barbara,CA,34.4231204,-119.7050051
232,Metropolis Comics Bellflower,16509 Bellflower Blvd.,Bellflower,CA,33.88457942,-118.1253412
233,Metropolis Comix,8241 Bruceville Rd. #160,Sacramento,CA,38.4585039,-121.4156781
234,Michaels Comic Book Shop,1039 S. Ventura Rd.,Oxnard,CA,34.1908036,-119.1953895
235,Midnight Music,1215 Olive Dr. #E,Bakersfield,CA,35.41220294,-119.0435937
236,Morgan Hill Sports Cards,15685 Monterey Rd.,Morgan Hill,CA,37.10973914,-121.6389568
237,MVP Non-Sports Cards,12557 Townhill Ct.,Victorville,CA,34.4786306,-117.3838429
238,My Neighbor Totoro,10845 N. Wolfe Rd.,Cupertino,CA,37.3357399,-122.0153222
239,My Turn! Games,5970 Entrada Ave. #A,Atascadero,CA,35.4896696,-120.6693671
240,Neil's Cards & Comics,1112 N. Chestnut Ave.,Fresno,CA,36.7568499,-119.7360089
241,Neon Monster,901 Castro St.,San Francisco,CA,37.75438922,-122.4340651
242,Njoy Games & Comics,8415 Reseda Blvd. #4,Los Angeles (Northridge),CA,37.15999125,-121.9229363
243,Nuclear Comics and Skate Shop,28985 Golden Lantern #B107,Laguna Niguel,CA,33.54235274,-117.6912846
244,Orbit Comics & Anime,115 S. San Gabriel Blvd.,San Gabriel,CA,34.10312868,-118.0910733
245,Outer Planes Comics and Games,526 7th St.,Santa Rosa,CA,38.44209654,-122.7168353
246,Pair A Dice Games,2020 Hacienda Dr. #N,Vista,CA,33.18436578,-117.2863238
247,Paladins Game Castle,6300 White Ln. #B,Bakersfield,CA,35.3192139,-119.0728925
248,Penny Ranch,2503 Hwy. 32,Chico,CA,39.7420075,-121.8837255
249,Phoenix Books & Records,3850 24th St.,San Francisco,CA,37.75172725,-122.4285648
250,Press Boxx,3737 W. Caldwell Ave.,Visalia,CA,36.29827913,-119.3324881
251,Printed Matter Bookstore,107 S. H St.,Lompoc,CA,34.63882682,-120.4580588
252,Pulp Fiction,1742 Clark Ave.,Long Beach,CA,33.7890481,-118.1336013
253,Ralph's Comic Corner,2379 E. Main St.,Los Angeles (Ventura),CA,37.15999125,-121.9229363
254,Rising Sun Creations,1620 Camino de la Reina #D,San Diego,CA,32.77047384,-117.1483693
255,Ryan's Comics,25021 Madison Ave. #101,Murrieta,CA,33.5583215,-117.2026346
256,San Diego Comics & Collectibles,6937 El Cajon Blvd.,San Diego,CA,32.76857989,-117.04845
257,Santa Monica Sports Cards,1606 Santa Monica Blvd.,Santa Monica,CA,34.0256627,-118.4835948
258,Santa Rosa Stamps & Baseball,2790 Santa Rosa Ave.,Santa Rosa,CA,38.40915364,-122.7133913
259,Secret Headquarters,3817 W. Sunset Blvd.,Los Angeles (Silver Lake),CA,37.15999125,-121.9229363
260,Seth's Games and Anime,2379 E. Main St.,Los Angeles (Ventura),CA,37.15999125,-121.9229363
261,Sky High Comics,172 S. Rancho Santa Fe Rd.,San Marcos,CA,33.14684568,-117.2000364
262,Southern California Comics,8280 Clairemont Mesa Blvd. #124,San Diego,CA,32.8349692,-117.1462498
263,Spacecat Cards & Comics,414 N. Capitol Ave. (Capitol Square Mall),San Jose,CA,37.2968672,-121.8193058
264,Spacecat Cards & Comics,536 S. Bascom Ave.,San Jose,CA,37.32932423,-121.932812
